ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,profile_id
0.11768189,-1.0408288,-1.0267303,0.9250645,1.2124813,0.35868993,-0.83430904,0.32293305,-0.08831267,4
-0.55477166,-1.0871893,-1.2258921,0.5125759,2.0241232,0.2841797,-1.3638294,0.2340145,0.7104017,4
-0.7722329,-1.0636523,0.29885754,0.95624477,-0.14024577,-0.2591392,1.029122,-0.24571106,-1.592604,4
0.21995842,-1.0834751,-1.0261079,0.9278145,1.2124836,0.35742396,-0.83810955,0.3228101,-0.1416703,4
0.40157494,-1.0789814,0.3155328,-0.70940083,-0.9518901,-0.25628948,1.029173,-0.24571085,-1.9648881,4
-0.7697667,-1.0895771,0.29994562,0.95896494,-0.14024603,-0.25927904,1.0291333,-0.2457186,-1.7756435,4
-0.8097358,-1.0828352,0.29438758,0.93226016,-0.14024709,-0.2594522,1.0291189,-0.24570908,-0.35324594,4
0.061311606,-1.0617521,-1.0256047,0.9283219,1.2124828,0.35806757,-0.83675355,0.32254684,-0.14990744,4
0.13504969,-1.0944898,-1.0267357,0.92566895,1.2124823,0.35865143,-0.8380999,0.32288033,-0.13749744,4
0.14191228,-1.077402,-1.4948874,-0.075246826,-0.14025046,1.9592097,-0.92893285,1.8918129,-0.70644134,4
-0.7566036,-1.0897151,0.29863185,0.9571359,-0.14024802,-0.2592646,1.0291647,-0.24571724,-1.6636384,4
-0.6563586,-1.095371,0.28996474,0.8866724,-0.1402465,-0.26062638,1.0291079,-0.24570586,1.2797142,4
0.18185529,-1.0910549,0.31331927,-0.7137086,-0.9518972,-0.25621232,1.0291626,-0.2457104,-0.5367435,4
0.39609048,-1.0682082,0.31529003,-0.7103566,-0.9518898,-0.25628445,1.0291404,-0.24572662,-1.8172511,4
-0.60656184,-1.073183,0.30050796,0.95977193,-0.14024644,-0.2592422,1.0291817,-0.24572256,-1.8469689,4
-0.15765022,-1.0148721,-1.5664998,-0.50994366,2.0241206,0.43168783,-1.8228042,0.34507143,2.2392437,4
0.29805377,-1.0648111,0.31174797,-0.7126009,-0.95189565,-0.25583208,1.0291513,-0.24571417,-0.36054617,4
-0.13562606,-1.0860786,-0.9619155,0.64398813,-0.14024603,1.0196321,0.38615626,1.1367613,-1.1490055,4
0.09231426,-1.050438,-0.96462274,0.6404042,-0.14024822,1.0182614,0.38618475,1.1367687,-1.0009724,4
-0.60571367,-1.0606495,-0.9545422,0.6555138,-0.14024875,1.0248276,0.38618007,1.1367676,-1.7376423,4
0.02236632,-1.0350381,-1.4875113,-0.050715223,-0.14024657,1.9563279,-0.894533,1.8877679,-0.99702775,4
0.14684568,-1.0363848,-1.02737,0.9303001,1.2124804,0.35838234,-0.8379718,0.3229978,-0.15610042,4
-0.10606779,-1.08221,-0.96413445,0.6407558,-0.14024696,1.0185785,0.3861945,1.1367725,-1.0119,4
-0.71676195,-1.0701665,0.29965922,0.95773757,-0.1402469,-0.25928336,1.0291564,-0.24573822,-1.7458079,4
-0.7344409,-1.0824262,0.29354998,0.92382425,-0.14024584,-0.25983635,1.0291204,-0.24571337,-0.10068832,4
-0.814608,-1.0851089,0.29624826,0.946589,-0.14024782,-0.25940067,1.0291288,-0.24571253,-1.0858583,4
-0.34367618,-1.0512902,-1.228696,0.50969195,2.0241175,0.2859321,-1.3729315,0.23403992,0.55056643,4
0.23095746,-1.0815872,0.31316748,-0.71415555,-0.9518956,-0.25627774,1.0291504,-0.24571809,-0.4899904,4
-0.14135744,-1.0302802,-1.49951,-0.094666034,-0.14024994,1.9511127,-0.9409793,1.8884962,-0.20461974,4
-0.8715413,-1.0784022,0.3001066,0.95910853,-0.14024782,-0.25925088,1.0291463,-0.24571347,-1.7779127,4
0.3655947,-1.0724125,0.31550944,-0.7102167,-0.9518843,-0.25607967,1.0291473,-0.24571092,-1.8234246,4
0.16303909,-1.0722929,0.3097147,-0.709493,-0.9518958,-0.25586852,1.0291848,-0.24572709,-1.1596514,4
-0.86572367,-1.0777941,0.18354061,1.6795293,2.0241182,-0.2637368,-0.7948797,-0.25571278,-1.0306643,4
-0.49029514,-1.0599288,0.28988728,0.8654005,-0.14024927,-0.25974357,1.029188,-0.24573597,1.9384115,4
0.27448985,-1.0825154,0.3154816,-0.70962524,-0.9518939,-0.2561653,1.0291632,-0.24571817,-1.9505907,4
-0.7802066,-1.0746404,0.29830247,0.95543456,-0.14024742,-0.25927857,1.0291744,-0.2457239,-1.5698748,4
0.3287914,-1.0916318,0.31425127,-0.7123577,-0.95189273,-0.2563622,1.0291598,-0.24570742,-1.5566232,4
-0.7360449,-1.0663433,0.29977152,0.95802766,-0.14024915,-0.25933462,1.0291479,-0.24571449,-1.7640857,4
-0.6717199,-1.0937008,-1.2541809,0.47730175,2.0241215,0.2893754,-1.355639,0.2362613,1.2103908,4
0.27173558,-1.0723145,0.31638753,-0.7086881,-0.95187473,-0.25595546,1.0291345,-0.2457137,-2.016883,4
-0.602321,-1.0692184,-0.95423436,0.65543824,-0.14024894,1.0248427,0.3861848,1.1367725,-1.7326659,4
0.33184782,-1.0777895,0.31412974,-0.71263105,-0.9518943,-0.25634614,1.0291798,-0.24569973,-1.5383575,4
0.36118224,-1.0772083,0.3141504,-0.7130892,-0.95188326,-0.25650263,1.0291468,-0.24571139,-1.5448965,4
-0.7795662,-1.0646682,0.29882595,0.9556942,-0.1402475,-0.25936675,1.0291287,-0.24571721,-1.6308528,4
-0.06634863,-1.0844338,-1.252732,0.47651887,2.0241184,0.28919923,-1.3577538,0.23610516,1.1671065,4
-0.8209376,-1.0830663,0.30006233,0.9591305,-0.14024723,-0.2591827,1.0291356,-0.24572669,-1.7790543,4
0.063856095,-1.0955713,0.31339833,-0.71285886,-0.951881,-0.2558661,1.0291398,-0.24570851,-0.6073629,4
0.19016027,-1.0477911,-1.4920106,-0.06747171,-0.14024696,1.964,-0.9217726,1.893449,-0.9238107,4
0.19568287,-1.0941137,-1.4935497,-0.07197535,-0.14024822,1.9616852,-0.92644083,1.892477,-0.8337252,4
0.2619812,-1.0251683,-1.0278475,0.9289357,1.2124808,0.35922822,-0.83759034,0.32267404,-0.15703565,4
-0.7094597,-1.0705752,0.29884556,0.9587867,-0.14024775,-0.25902808,1.0291221,-0.24571119,-1.6901462,4
0.32983232,-1.064366,0.31541908,-0.7091915,-0.95187855,-0.2561182,1.0291538,-0.2457151,-1.9954765,4
-0.63928294,-1.0659579,0.2989864,0.9567321,-0.14024709,-0.25927603,1.0291246,-0.24571548,-1.6858047,4
0.23500657,-1.0358676,-1.0272838,0.930568,1.2124815,0.3579776,-0.83686554,0.32290974,-0.15398708,4
-0.747601,-1.0837702,0.29996285,0.95902026,-0.14024603,-0.25927064,1.0291387,-0.24571858,-1.7966863,4
-0.27860042,-1.0420972,-0.9557686,0.6473028,-0.14024901,1.0218594,0.38617826,1.1367676,-1.4564868,4
-0.67802143,-1.0785134,0.29494458,0.9365493,-0.14024834,-0.2594381,1.0291741,-0.24572527,-0.5541271,4
-0.07005947,-1.023123,-1.5640066,-0.5050029,2.0241203,0.43009666,-1.8186326,0.3439068,2.2676857,4
-0.017231395,-1.0832466,-0.964043,0.64160836,-0.14024848,1.0198883,0.38620347,1.1367743,-1.0635829,4
0.29124033,-1.0783855,-1.4947175,-0.075811744,-0.14024696,1.9603373,-0.9287213,1.8916982,-0.72126114,4
-0.87741226,-1.063116,0.29847342,0.9553335,-0.1402475,-0.25927466,1.0291249,-0.2457134,-1.4856226,4
-0.53848493,-1.0764524,0.18052663,1.6844491,2.02412,-0.263953,-0.7526064,-0.25473613,-0.120753855,4
-0.4491888,-1.0746258,0.29509005,0.9389616,-0.14024782,-0.25948706,1.0291241,-0.2457198,-0.6667461,4
0.3420278,-1.0850421,0.31404734,-0.7133054,-0.95188814,-0.2564256,1.0291425,-0.24571794,-1.542167,4
-0.6417983,-1.0801717,0.29645687,0.9452152,-0.14024551,-0.25957322,1.0291398,-0.24572225,-1.0655004,4
-0.7718816,-1.0936037,0.3000117,0.96058756,-0.14024755,-0.25897697,1.029143,-0.24571802,-1.7742064,4
-0.41257823,-1.0732194,0.29520926,0.93993914,-0.14024644,-0.25931466,1.029115,-0.24570951,-0.7161132,4
-0.6053092,-1.0954617,0.29013628,0.88899493,-0.14024682,-0.26073444,1.0291718,-0.24572884,1.1702391,4
0.47619933,-1.0730989,0.31521696,-0.70970803,-0.9518808,-0.2562059,1.029128,-0.24572174,-1.9719056,4
-0.020687288,-1.0754626,-0.9641552,0.6409159,-0.14024717,1.0194023,0.38618308,1.1367593,-1.0412067,4
-0.9290579,-1.0701997,0.29816046,0.95631343,-0.1402475,-0.2591541,1.0291643,-0.24573317,-1.478417,4
-0.61776865,-1.0933038,0.29804036,0.9555586,-0.14024822,-0.259349,1.0291756,-0.2457229,-1.5300092,4
-0.70443296,-1.0959659,0.290412,0.8895955,-0.14024915,-0.26083168,1.0291944,-0.24572018,1.1307783,4
-0.7651966,-1.0926055,0.29826945,0.95599693,-0.14024822,-0.2593157,1.0291618,-0.24573334,-1.5302787,4
-0.8662265,-1.073272,0.2993005,0.9570602,-0.1402469,-0.2592881,1.0291332,-0.24572013,-1.6995466,4
-0.7914074,-1.0641555,0.2993315,0.95654947,-0.14024802,-0.25910404,1.0291327,-0.24571416,-1.6322505,4
-0.12979832,-1.0494167,-1.0256038,0.92478997,1.2124841,0.35782704,-0.83545744,0.32274878,-0.089743264,4
-0.56930184,-1.0429536,0.29582453,0.94472,-0.14024828,-0.25931707,1.0291401,-0.24572092,-0.9445199,4
-0.5455081,-1.0389153,0.2970839,0.9525633,-0.14024755,-0.25934592,1.0291265,-0.24570632,-1.3386326,4
-0.7080304,-1.0947949,0.30049282,0.96067655,-0.14024723,-0.25898764,1.029139,-0.24572675,-1.8049904,4
-0.5234719,-1.0697535,0.294832,0.9377006,-0.1402494,-0.25972337,1.0291855,-0.24573882,-0.66658515,4
0.020343777,-1.0959008,-0.9642715,0.6408703,-0.14024611,1.0190665,0.38615733,1.1367699,-1.006288,4
-0.6287747,-1.0614083,0.29233944,0.91203463,-0.14024763,-0.26098448,1.0291642,-0.24571493,0.11622268,4
-0.3571695,-1.0584668,-1.5585463,-0.48567536,2.0241182,0.4308917,-1.8233767,0.3456711,2.041293,4
0.5392315,-1.0651826,0.31464693,-0.71175915,-0.9518889,-0.25630596,1.0291392,-0.24571556,-1.6566321,4
0.4079919,-1.053513,-1.0267686,0.9307913,1.2124773,0.35805246,-0.8379805,0.32290065,-0.16108215,4
-0.7426094,-1.0917257,0.29918197,0.9583693,-0.14024551,-0.25931704,1.0291474,-0.24572858,-1.7082704,4
0.2494394,-1.0846224,0.3155278,-0.70958835,-0.9518891,-0.25611445,1.029147,-0.24572706,-1.9495676,4
-0.004222868,-1.0164897,-1.4993498,-0.095243976,-0.14025225,1.950923,-0.94041204,1.8886398,-0.18608329,4
-0.101693474,-1.055211,-0.9638257,0.64168745,-0.14024498,1.0191269,0.38614428,1.1367598,-1.0578113,4
0.25512764,-1.0807233,0.3151513,-0.7082991,-0.9518865,-0.25598744,1.0291313,-0.24572846,-2.0253232,4
0.030895138,-1.0917594,-1.0280135,0.9227904,1.2124802,0.3561158,-0.8326576,0.323121,-0.030877562,4
-0.7634933,-1.0615829,0.29720375,0.9535631,-0.14024676,-0.25921363,1.029145,-0.24571973,-1.3683945,4
-0.7604821,-1.0541579,0.29911825,0.957599,-0.1402453,-0.25899544,1.029144,-0.24571463,-1.5983703,4
0.4159375,-1.0713949,-1.0269535,0.92556137,1.2124784,0.35889938,-0.83899903,0.32271615,-0.1444904,4
-0.29175952,-1.0399591,-0.95642436,0.6469972,-0.14024565,1.0215311,0.38619733,1.1367718,-1.4472268,4
-0.62342274,-1.081923,0.29899716,0.9557396,-0.14024763,-0.25929245,1.029129,-0.24571475,-1.5552328,4
-0.25260445,-1.073519,-1.235167,0.4982068,2.024119,0.2856892,-1.3650091,0.23454528,0.8110616,4
-0.006529472,-1.075871,0.3141352,-0.71209425,-0.95189387,-0.25574434,1.0291824,-0.24572009,-0.7907529,4
-0.15963462,-1.0476654,-0.960322,0.6450653,-0.14024703,1.0199864,0.38616234,1.1367593,-1.2436471,4
-0.120737515,-1.0660421,-1.2588161,0.4678681,2.0241175,0.29016435,-1.3556116,0.23651412,1.2845597,4
0.26228833,-1.0709438,0.31517476,-0.71094763,-0.95187485,-0.25614476,1.0291399,-0.24570829,-1.7688502,4
0.06120521,-1.0398529,-0.9640724,0.64036727,-0.14024498,1.0182046,0.38613576,1.1367635,-1.0011761,4
-0.24659804,-1.071607,-0.9591088,0.64708966,-0.1402506,1.0206041,0.38617882,1.1367743,-1.3227296,4
0.30981764,-1.0917416,0.31535232,-0.71179235,-0.951879,-0.25631616,1.0291337,-0.24573551,-1.6853149,4
-0.5998689,-1.0664171,0.3003436,0.9596714,-0.14024742,-0.25911307,1.0291559,-0.24571231,-1.8234506,4
0.5867015,-1.0624139,0.31308582,-0.7106287,-0.9518928,-0.25561294,1.0291474,-0.24571458,-0.85132426,4
0.38043308,-1.0835539,0.31532174,-0.7086442,-0.9518853,-0.25601313,1.0291393,-0.24571729,-1.9398311,4
-0.5108317,-1.0934795,0.30043143,0.96129525,-0.14024769,-0.25905824,1.029179,-0.24573135,-1.8402289,4
-0.5931318,-1.0895302,0.29597792,0.9474372,-0.14024742,-0.25933576,1.029118,-0.24571328,-1.0946312,4
0.36362737,-1.0696127,0.3156672,-0.7096029,-0.9518775,-0.2561887,1.0291301,-0.24571677,-2.0132332,4
0.15854433,-1.0871887,-1.4983801,-0.09094764,-0.1402463,1.9544518,-0.9399401,1.888832,-0.3715669,4
-0.06915108,-1.0717567,-0.9636336,0.64189124,-0.14024763,1.0190282,0.38620394,1.1367664,-1.0543619,4
-0.7065408,-1.0761687,0.2965584,0.94819736,-0.14024703,-0.25949124,1.0291333,-0.24571878,-1.1997321,4
-0.777355,-1.0950725,0.2985393,0.95683086,-0.14024796,-0.25935712,1.0291576,-0.24571362,-1.677743,4
-0.02495822,-1.0927764,-1.5553325,-0.48568463,0.20227775,1.4337049,-0.94851226,1.4694818,-0.06381819,4
0.26149437,-1.0631676,0.31459495,-0.7103604,-0.9518799,-0.2561533,1.0291337,-0.24571511,-1.8051418,4
-0.029945826,-1.0906965,-0.9640895,0.64154553,-0.14024644,1.0200053,0.38620624,1.1367725,-1.0710231,4
-0.91501254,-1.0902094,0.2963698,0.94524956,-0.14024636,-0.25955358,1.0291216,-0.24571118,-1.084329,4
0.29033196,-1.0756842,0.3121034,-0.7130366,-0.9518861,-0.25596547,1.0291691,-0.24573497,-0.3181605,4
-0.64497715,-1.0395472,-1.2481576,0.4894197,2.0241187,0.28721288,-1.3547307,0.23580626,1.1033642,4
-0.50716907,-1.0654082,-1.2082362,0.5429666,2.0241163,0.28555393,-1.3931762,0.23160404,-0.005951617,4
-0.13275133,-1.0948112,-0.9625478,0.6438129,-0.14024551,1.0201361,0.38618308,1.1367705,-1.1418456,4
0.19754381,-1.054271,0.31102484,-0.7070415,-0.9518945,-0.25502628,1.029148,-0.24571384,-0.93498087,4
-0.72554773,-1.0391691,-1.2444774,0.4915018,2.024119,0.287272,-1.3577086,0.23547384,1.0329195,4
0.17135713,-1.0837438,0.3140605,-0.71796197,-0.95187426,-0.25712684,1.029123,-0.24573211,-1.3771894,4
-0.65634155,-1.0901484,0.29857862,0.9551274,-0.14024848,-0.2592495,1.0291369,-0.24571066,-1.5374682,4
-0.7809946,-1.0777828,-1.2377269,0.49043697,2.0241175,0.28783378,-1.3666693,0.23463614,0.8361036,4
0.056116223,-1.055789,0.31453088,-0.71032995,-0.95188844,-0.2562533,1.0291427,-0.24571311,-1.8007376,4
0.2596475,-1.0900381,0.31340215,-0.72011477,-0.9518776,-0.25764912,1.0291299,-0.24572022,-1.3581958,4
-0.57299864,-1.071871,0.29826093,0.95433754,-0.14024796,-0.25932506,1.0291258,-0.24570836,-1.4596963,4
0.2544742,-1.05695,-1.0279042,0.9278427,1.2124804,0.3585783,-0.8382178,0.32285857,-0.15717883,4
